source_filename,Source File Name,Agreement Title,Agreement Classification,Party 1 Name,Party 1 Role,Party 2 Name,Party 2 Role,Services,Agreement Flag,Captions Flag,Clause Captions,Schedules/Exhibits/Annexes
19561693503623_Behavioral Innovations - ACC AIA MSA.pdf,ACC Business MSA UA III 09-01-2015.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,BEHAVIORAL INNOVATIONS,Customer,Business Services,True,False,"['Customer', 'ACC Business', 'ACC Business Contact (for notices)', 'Customer Contact (for notices)', 'This ACC Business Multi-Service Agreement between the customer named above (“Customer”) and AT&T Corp. doing business as (d/b/a) ACC Business (“ACC Business”) (each a “Party”) is effective when signed by both Parties (“Effective Date”).', 'This ACC Business Multi-Service Agreement consists of the attached provisions, and the AT&T Business Services Agreement, including definitions, located at https://www.corp.att.com/agreement/ (“BSA”) (collectively the attached provisions and BSA constitute the “MSA”). In order for Customer to purchase ACC Business Services, the Parties must execute an applicable pricing schedule, referencing this MSA, reflecting the Services, the pricing and the pricing schedule term (""Pricing Schedule""). Collectively the MSA, Pricing Schedule and applicable Service Publications constitute the ""Agreement"" for those Services. A ""Service Publication"" includes Tariffs, Guidebooks, and Service Guides located at http://serviceguidenew.att.com, which reflect the product descriptions, rates, terms and conditions applicable to a particular Service. Services are further subject to the AT&T Acceptable Use Policy located at www.att.com/aup (“AUP”). Service Publications and the AUP may be amended by AT&T or ACC Business from time to time without notice to Customer. The order of priority of the documents that form the Agreement is: the applicable Pricing Schedule or order; the MSA; the AUP; and then Service Publications; provided, however, if applicable laws or regulations of a jurisdiction prohibits contractual modification of Tariff terms, the Tariff will prevail. In the event of a conflict within the MSA between the attached provisions and the BSA, the attached provisions take precedence. For purposes of this MSA the arbitration provisions of the BSA are replaced entirely with and superseded by the following:', 'ARBITRATION', 'Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']",[]
19561694457452_Waxies MSA - OP ID 20130957.pdf,contract.pdf,MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",Provider,Waxie's Enterprises LLC,Customer,communications and other services,True,False,"['Customer Information', 'Agreement Overview', 'Sales Orders', 'Termination', 'General Terms and Conditions, Acceptable Use Policy and Privacy Statement', 'Service Availability', 'Agreement to Terms and Conditions']",[]
19561695388618_Waxies MSA - OP ID 20130957.pdf,Comcast Contract.pdf,MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",Provider,Waxie's Enterprises LLC,Customer,communications and other services,True,False,"['Customer Information', 'Agreement Overview', 'MSA Term', 'Termination', 'Commercial Customers']","['Product-Specific Attachment for the applicable Services (PSA(s))', 'General Terms and Conditions']"
19561695656163_Education Affiliates Renewal SA (1).pdf,image,COMCAST BUSINESS SERVICES AGREEMENT (MULTI-SITE),Business Service Agreement,"Comcast Cable Communications Management, LLC",Provider,Education Affiliates,Customer,Communications and other services,True,False,"['Agreement Overview', 'Services Availability', 'Agreement Termination', 'Customer Agreement']",[]
19561701803672_North American Corp MSA.pdf,Comcast contract.pdf,COMCAST ENTERPRISE SERVICES MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",Provider,North American Corp.,Customer,Communications and other services,True,False,"['Agreement Overview', 'Sales Orders', 'General Terms and Conditions', 'Commercial Customers']",[]
19561701959079_North American Corp MSA.pdf,image,MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",Provider,North American Corp.,Customer,communications and other services,True,False,"['Agreement Overview', 'Sales Orders', 'General Terms and Conditions', 'Service Availability', 'Agreement to Terms']","['Product-Specific Attachment', 'Sales Orders']"
19561706218401_1931705946927_Tesoro Farm Blue Stream Fiber Account 600038802 TERMS AND CONDITIONS.pdf,Business Terms and Conditions.pdf,Business Class Service Agreement,Service Agreement,Blue Stream,Provider,Customer,Customer,"Internet, Cable and Phone",True,True,"['AGREEMENT', 'SERVICES AND SERVICE ORDERS', 'SERVICE & EQUIPMENT INSTALLATION', 'SUPPORT & MAINTENANCE', 'CUSTOMER OBLIGATIONS', 'TERM', 'PRICING POLICY', 'PAYMENT', 'Credit Approval and Deposits', 'TAXES', 'PROPRIETARY RIGHTS AND CONFIDENTIALITY', 'Confidentiality', 'Software', 'MONITORING, EQUIPMENT UPGRADES AND MODIFICATIONS', 'TERMINATION', 'INDEMNIFICATION', 'DISCLAIMER OFWARRANTY', 'LIMITATION OF LIABILITY', ""Limitations on BLUE STREAM's Liability for Customer Equipment and Software"", 'DISCLOSURE OF CUSTOMER INFORMATION', 'COMPLAINT RESOLUTION', 'FORCE MAJEURE', 'REGULATORY AND LEGAL CHANGES, POLE ATTACHMENT AND CONDUIT CHARGES, TARIFFS', 'ENTIRE AGREEMENT', 'ORDER OF PRECEDENCE', 'COMPLIANCE WITH LAWS', 'GOVERNING LAW', 'Business Class Cable TV Service', 'Business Class Phone Service', 'Broadband High Speed Internet', 'Subscription to Services', 'Terms and Conditions of Service', 'Pricing', 'Payment; Charges', 'PHONE SERVICE E911 NOTICE', 'CPNI Approval', 'Porting of Telephone Numbers', 'Telephone Authorization and New Telephone Numbers', 'Directory listings', 'Term and Termination; Early Termination Fee', 'Access to Premises and Installation of System', 'Limitation of Liability', 'Indemnification', 'DISCLAIMER OF WARRANTIES', 'Force Majeure', 'Commercial Use Restrictions on Video', 'Miscellaneous']","['Attachment A', 'Attachment B', 'Attachment C']"
19561707336789_Athlanta History Center MSA.pdf,Comcast Contract.pdf,MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",Provider,Atlanta History Center,Customer,communications and other services,True,False,"['Customer Information', 'General Terms', 'MSA Term', 'Termination', 'General Terms and Conditions', 'Services Availability', 'Agreement to Terms and Conditions']",[]
19561707932322_Athlanta History Center MSA.pdf,image.png,MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",provider,Atlanta History Center,customer,communications and other services,True,False,"['Customer Information', 'Agreement Overview', 'MSA Term', 'Termination', 'General Terms and Conditions', 'Agreement Terms']","['Product-Specific Attachment for the applicable Services (""PSA(s)"")', 'Sales Orders']"
19561712157383_Trex SDWAN MSA.pdf,image,MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",provider,Trex Company Inc,customer,communications and other services,True,False,"['Customer Information', 'Terms and conditions']",[]
19561713201611_Removery AIA Forms.pdf,ATT_Removery.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,"Removery, LLC",Customer,"Telecommunications, data, and information services",True,True,"['ARBITRATION', 'Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law', 'SERVICES', 'PRICING SCHEDULE TERM AND EFFECTIVE DATES', 'MINIMUM PAYMENT PERIOD', 'ADDITIONAL TERMS AND CONDITIONS', 'Notice of Withdrawal', 'RATES AND CHARGES']",['PRICING SCHEDULE']
19561715698576_ACCB_AIA_ACS_Multi_Service_Agreement Powerback.pdf,141537AA-4CCA-4D3F-A03D-7D16F8D32B9F.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,Powerback,Customer,Business Services,True,True,"['Customer', 'AT&T Corp. d/b/a ACC Business', 'Customer Contact (for notices)', 'ACC Business Contact (for notices)', 'ARBITRATION', 'AGREED: Customer', 'AGREED: AT&T Corp. d/b/a ACC Business', 'Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']",[]
19561724341973_Trex Assist+.pdf,Docusign Envelope ID- C806299D-31E3-47ED-80FD-7C0C8DEC4B60.pdf,MASTER SERVICES AGREEMENT,Master Services Agreement,"Distributed Computing, Inc. dba Ten4",provider,"Trex Company, Inc.",customer,Services specified in each Addendum and SOF,True,True,"['Term of Agreement', 'Services', 'Customer Responsibilities', 'Prohibited Conduct', 'Violations and Enforcement', 'Charges and Payments', 'Access', 'Security & Usage', 'Warranty Exclusion', 'Limitation of Liability', 'Indemnification', 'Default', 'Termination', 'Confidentiality', 'Other Terms', 'Force Majeure', 'Subcontracting', 'Assignment', 'Publicity', 'Conflict Between Agreements', 'Governing Law', 'Notification', 'Entire Agreement', 'Acceptance']","['EXHIBIT D', 'ASSIST SERVICES']"
19561726580288_Vox MSA copy.pdf,contract.pdf,COMCAST ENTERPRISE SERVICES MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",Provider,Vox Church,Customer,communications and other services,True,False,"['Customer Information', 'Agreement', 'Sales Orders', 'Termination', 'General Terms', 'Services', 'Customer Agreement']",[]
19561726588043_Vox MSA - Countersigned.pdf,NA,MASTER SERVICES AGREEMENT (MSA),Master Services Agreement,"Comcast Cable Communications Management, LLC",provider,Vox Church,customer,communications and other services,True,False,"['Agreement Overview', 'Sales Orders', 'Termination', 'Website Terms', 'Service Restrictions']","['Product-Specific Attachment', 'Sales Orders']"
19561728670528_ACCB_AIA_ACS_Multi_Service_Agreement Concentra Health Services Inc..pdf,ACC Business MSA UA III 05-01-2024.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,"AT&T Enterprises, LLC d/b/a ACC Business",Provider,Concentra Health Services Inc.,Customer,Business Services,True,True,"['ARBITRATION', 'Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']",[]
19561731335095_07-31-24LancasterCountyMSA8-6-2024-Signed.pdf,CONTRACT.pdf,MASTER SERVICES AGREEMENT (MSA),Master Service Agreement,"Comcast Cable Communications Management, LLC",Provider,COUNTY OF LANCASTER,Customer,communications and other services,True,False,"['Customer Information', 'Agreement', 'Sales Orders', 'Termination', 'Services', 'Terms and Conditions']",[]
19561731684900_ACCB_AIA_ACS_Multi_Service_Agreement (6) Acorn Health.pdf,ACC Business MSA UA III 09_01_2015,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,Acorn Health,Customer,Business Services,True,False,"['Customer', 'ACC Business Contact (for notices)', 'Agreement', 'ARBITRATION', 'AGREED: Customer', 'AGREED: AT&T Corp. d/b/a ACC Business', 'Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']",[]
19561732118329_ACCB_AIA_ACS_Multi_Service_Agreement Powerback.pdf,ACC Business MSA UA III 05-01-2024.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,"AT&T Enterprises, LLC d/b/a ACC Business",Provider,Powerback,Customer,"All products and services (including wireless, if applicable) ACC Business provides Customer pursuant to this Agreement.",True,True,"['Customer', 'ACC Business MA Reference No.', 'ACC Business Contact (for notices)', 'Customer Contact (for notices)', 'ARBITRATION', 'AGREED: Customer', 'AGREED: AT&T Enterprises, LLC d/b/a ACC Business', 'Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']",[]
19561736350067_Spectrotel -MSA Addendum Autorenewal.doc.pdf,image.png,Master Services Agreement,Master Services Agreement,Spectrotel Holding Company LLC,Provider,Powerback,Customer,Telephone services,True,True,['The parties agree to the following change to the Term and Termination section of the MSA'],[]
20171656447367_TOS - DBA Ten4 for Select Rehab Denton_partially executed 06282022.pdf,Frontier Communications Contract.pdf,Terms of Service,Telecommunications Services Agreement,Frontier Communications,Provider,Select Medical Corporation DBA: Ten4 for Select Rehabilitation Hospital of Denton,Customer,Telecommunications services,True,True,"['Documents', 'To Accept the offer']","['Frontier Services Agreement (FSA)', 'Schedule(s)']"
20171660751961_PE_Zoom MSA Select Medical final[20].pdf,007177_Redacted.pdf,MASTER SUBSCRIPTION AGREEMENT,Master Subscription Agreement,"Zoom Video Communications, Inc.",Provider,Select Medical Corporation,Customer,Zoom Meeting Services and/or Zoom Phone Services,True,True,"['Definitions', 'Access, Use, Customer Responsibility', 'Right to Use', 'Beta Versions', 'Customer Use and Responsibility', 'Prohibited Use; Notification of Unauthorized Use', 'Professional Use; No Commercial Transfer', 'Customer Data and Content; Responsibility for Use', 'Customer Data', 'Customer Content', 'Customer Responsibility for Customer Content', 'Zoom Obligations for Customer Content', 'Data Processing Agreements and Similar Agreements', 'Prices and Fulfillment', 'Price Changes', 'Discounts and Promotional Pricing', 'Invoices and Payments', 'Purchase Order Numbers', 'VAT Invoices', 'Withholding', 'Tax Exemptions', 'Billing and Contract Information; Billing Disputes', 'Zoom Proprietary Rights', 'Confidentiality', 'Exclusions', 'Exception', 'Confidentiality Period and Obligations', 'Term and Termination; Suspension', 'Term and Renewal; Early Termination', 'Termination by Either Party', 'Termination or Suspension by Zoom', 'Termination by Zoom Due to Change in Law', 'Responsibilities upon Termination', 'Cessation of Use', 'Return of Customer Content', 'Service Level Agreement', 'Zoom Marketplace', 'Managed Domains', 'Warranties', 'Limited Warranty', 'Warranty Disclaimer', 'Indemnification', 'Indemnification by Zoom', 'Indemnification by Customer', 'Indemnification Procedures', 'Limitation on Liability', 'EXCLUSIONS', 'NO INDIRECT DAMAGES', 'AGGREGATE LIABILITY CAP', 'Force Majeure', '[Reserved]', 'Miscellaneous', 'Choice of Law and Forum', 'Export Restrictions', 'Incorporation of Zoom Policies', 'Waiver and Severability', 'General Provisions', 'Assignment', 'Copyright Infringement', 'Marketing', 'Liability Insurance', 'Billing Records', 'Notice', 'Survival', 'Definitions', 'Zoom Meeting Services', 'Zoom Phone Services', 'Definitions', 'Telecommunications Provider', 'Description of Services', 'Zoom Phone Service', 'Public Switched Telephone Network Communications (PSTN) Access', 'Bring Your Own Carrier (BYOC)', 'Additional Zoom Phone Services', 'Billing and Invoicing', 'On Net Access', 'Taxes', 'Reasonable Use and Right to Review', 'Termination of Zoom Meeting Services', 'Zoom Voice Policies', 'Zoom Emergency Calling (E911) Customer Obligations', 'Equipment', 'Zoom for Government', 'FedRAMP Security Features', 'Media Data in End-to-End Meeting', 'Chat/Notes/Closed Captioning in End-to-End Meeting', 'Zoom Marketplace', 'Managed Domains', 'Reasonable Use', 'Reasonable Use']","['Exhibit A: Services Description', 'Exhibit B: Privacy Policy', 'Exhibit C: Acceptable Use Policy', 'Exhibit D: Zoom Phone Communications, Inc. 911 Customer Notification']"
20171660855259_20171660751961_PE_Zoom MSA Select Medical final[20].pdf,007177_Redacted.pdf,MASTER SUBSCRIPTION AGREEMENT,Master Subscription Agreement,"Zoom Video Communications, Inc.",Provider,Select Medical Corporation,Customer,Zoom Meeting Services and/or Zoom Phone Services,True,True,"['Definitions', 'Access, Use, Customer Responsibility', 'Right to Use', 'Beta Versions', 'Customer Use and Responsibility', 'Prohibited Use; Notification of Unauthorized Use', 'Professional Use; No Commercial Transfer', 'Customer Data and Content; Responsibility for Use', 'Customer Data', 'Customer Content', 'Customer Responsibility for Customer Content', 'Zoom Obligations for Customer Content', 'Data Processing Agreements and Similar Agreements', 'Prices and Fulfillment', 'Price Changes', 'Discounts and Promotional Pricing', 'Invoices and Payments', 'Purchase Order Numbers', 'VAT Invoices', 'Withholding', 'Tax Exemptions', 'Billing and Contract Information; Billing Disputes', 'Zoom Proprietary Rights', 'Confidentiality', 'Exclusions', 'Exception', 'Confidentiality Period and Obligations', 'Term and Termination; Suspension', 'Term and Renewal; Early Termination', 'Termination by Either Party', 'Termination or Suspension by Zoom', 'Termination by Zoom Due to Change in Law', 'Responsibilities upon Termination', 'Cessation of Use', 'Return of Customer Content', 'Service Level Agreement', 'Zoom Marketplace', 'Managed Domains', 'Warranties', 'Limited Warranty', 'Warranty Disclaimer', 'Indemnification', 'Indemnification by Zoom', 'Indemnification by Customer', 'Indemnification Procedures', 'Limitation on Liability', 'EXCLUSIONS', 'NO INDIRECT DAMAGES', 'AGGREGATE LIABILITY CAP', 'Force Majeure', '[Reserved]', 'Miscellaneous', 'Choice of Law and Forum', 'Export Restrictions', 'Incorporation of Zoom Policies', 'Waiver and Severability', 'General Provisions', 'Assignment', 'Copyright Infringement', 'Marketing', 'Liability Insurance', 'Billing Records', 'Notice', 'Survival', 'Definitions', 'Zoom Meeting Services', 'Zoom Phone Services', 'Definitions', 'Telecommunications Provider', 'Description of Services', 'Zoom Phone Service', 'Public Switched Telephone Network Communications (PSTN) Access', 'Bring Your Own Carrier (BYOC)', 'Additional Zoom Phone Services', 'Billing and Invoicing', 'On Net Access', 'Taxes', 'Reasonable Use and Right to Review', 'Termination of Zoom Meeting Services', 'Zoom Voice Policies', 'Zoom Emergency Calling (E911) Customer Obligations', 'Equipment', 'Zoom for Government', 'FedRAMP Security Features', 'Media Data in End-to-End Meeting', 'Chat/Notes/Closed Captioning in End-to-End Meeting', 'Zoom Marketplace', 'Managed Domains', 'Reasonable Use', 'Reasonable Use']","['Exhibit A: Services Description', 'Exhibit B: Privacy Policy', 'Exhibit C: Acceptable Use Policy', 'Exhibit D: Zoom Phone Communications, Inc. 911 Customer Notification']"
20171661279660_9880 W Flamingo Rd.pdf,Lumen Contract.pdf,,Master Service Agreement,Lumen,Provider,SELECT MEDICAL CORPORATION,Customer,Fiber+ Internet,True,True,"['Terms and Conditions Governing This Order', 'Where applicable, prior to installation', 'If a generic demarcation point', 'The Service identified in this Order', 'Neither party will be liable for any damages', 'All transport services ordered from Lumen', 'Charges for certain Services are subject to', ""Customer will pay Lumen's standard"", 'For Internet Services provided in certain countries', 'If your network service utilizes TDM technologies', 'If any type of economic, trade or other governmental', 'Any information provided by Customer']","['Ancillary Fee Schedule', 'Master Service Agreement (PDF)', 'Internet Services Service Schedule (PDF)', 'Building Extension Service Schedule (PDF)']"
20171662126745_Frontier Fiber Contract - FSA for Danbury CT_partially executed 09012022.pdf,Frontier Services Agreement.pdf,Frontier Services Agreement,Services Agreement,"Frontier Communications of America, Inc.",Provider,Select Medical Corporation dba Ten4 for SPT - Danbury CT,Customer,"communications, installation and maintenance services, and/or purchase or lease equipment",True,True,"['Provision of Services and Equipment', 'Term', 'Payment', 'Cancellation and Early Termination Charges', 'Dispute Resolution', 'Authorization and Entire Agreement']",['Schedules']
20171662126771_TOS-Select Medical Corporation dba Ten4 for SPT - Danbury CT_fully executed 09012022.pdf,Frontier,TERMS OF SERVICE,Telecommunications Services Agreement,Frontier Communications,Provider,Select Medical Corporation dba Ten4 for SPT - Danbury CT,Customer,Telecommunications services,True,True,['To Accept the offer'],"['Frontier Services Agreement (FSA)', 'Schedule(s)']"
20171667579310_ACCB_AIA_ Countersigned SELECT MEDICAL CORPORATION CONTRACT.pdf,ACC PS 401.pdf,PRICING SCHEDULE,Internet Access,AT&T Corp. d/b/a ACC Business,Provider,Select Medical Corporation,Customer,AT&T Internet Access as sold by ACC Business aka AT&T High Speed Internet - Enterprise,True,True,"['SERVICES', 'PRICING SCHEDULE TERM AND EFFECTIVE DATES', 'MINIMUM PAYMENT PERIOD', 'ADDITIONAL TERMS AND CONDITIONS', 'Notice of Withdrawal', 'RATES AND CHARGES']",[]
20171667579377_ACCB_AIA_ACS_Multi_Service_Agreement_Select Medical Corp_partially executed 10102022.pdf,ACCB_AIA_ACS_Multi_Service_Agreement_Select Medical Corp_Final Audit Report.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,Select Medical Corporation,Customer,Business Services,True,False,"['Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']",[]
20171670363275_SLA - Business Fiber Premium.pdf,DocuSign Envelope ID_ 2F86A21D-7D5B-4EE4-B1EC-B13D9E3178CF.pdf,"ADDENDUM
REGARDING SERVICE LEVEL AGREEMENT
FOR BUSINESS FIBER PREMIUM SERVICE ONLY
(FOR INTERNET AND WIDE AREA NETWORK ONLY)",Service Level Agreement,MetroNet,Provider,Customer,Customer,"Business Fiber Premium Service, Internet, Wide Area Network",True,True,"['NETWORK OPERATIONS DEFINITIONS:', 'Availability', 'Customer Premises', 'Emergency Maintenance or Repair', 'Excluded Outages', 'Force Majeure', 'Jitter', 'Latency', 'MetroNet Gateway', 'Off Net', 'On Net', 'Outage', 'Packet/Frame Loss', 'Planned Maintenance or Repair', 'SERVICE OUTAGE CREDITS:', 'RESPONSE AND RESTORATION OBJECTIVES:']",[]
20171692627576_ACCB_AIA_ACS_Multi_Service_Agreement_PE 08212023.pdf,ACC Business MSA UA III 09-01-2015.pdf,ACC BUSINESS MULTI-SERVICE AGREEMENT,Multi-Service Agreement,AT&T Corp. d/b/a ACC Business,Provider,Concentra Health Services Inc.,Customer,Business Services,True,False,"['Customer', 'Customer Contact (for notices)', 'AT&T Corp. d/b/a ACC Business', 'ACC Business Contact (for notices)', 'This ACC Business Multi-Service Agreement between the customer named above (“Customer”) and AT&T Corp. doing business as (d/b/a) ACC Business (“ACC Business”) (each a “Party”) is effective when signed by both Parties (“Effective Date”).', 'This ACC Business Multi-Service Agreement consists of the attached provisions, and the AT&T Business Services Agreement, including definitions, located at https://www.corp.att.com/agreement/ (“BSA”) (collectively the attached provisions and BSA constitute the “MSA”).', 'ARBITRATION', 'AGREED: Customer', 'AGREED: AT&T Corp. d/b/a ACC Business', 'Services', 'Execution by Affiliates', 'License and Other Terms', 'Pricing and Pricing Schedule Term; Terms Applicable After End of Pricing Schedule Term', 'MARC', 'Termination and Termination Charges', 'Billing and Disputes', 'Purchased Equipment', 'Privacy', 'Trademarks and Publicity', 'Governing Law']","['Pricing Schedule', 'Service Publications']"
20171695129145_GTT - Concentra Secondary Project - Colorado Springs CO MSA_PE09182023.pdf,GTT-Concentra Secondary Project-Colorado Springs CO MSA.pdf,MASTER SERVICE AGREEMENT,Master Service Agreement,"GTT Americas, LLC",Provider,Concentra Health Services Inc.,Client,"telecommunications, information, or ancillary services",True,True,"['DEFINITIONS AND ABBREVIATIONS', 'ORDERING AND PROVISION OF THE SERVICE(S); AFFILIATES', 'MSA TERM AND SERVICE TERM; COMMITMENTS', 'SERVICE ACTIVATION', 'BILLING; TAXES; CHARGES', 'PAYMENT', 'CREDIT', 'DISPUTES', 'TERMINATION AND SUSPENSION', 'SERVICE PERFORMANCE; MAINTENANCE', 'FORCE MAJEURE', 'LIMITATION OF LIABILITY AND DISCLAIMER OF WARRANTIES; INDEMNITY', ""CLIENT'S RESPONSIBILITIES; RESALE OF THE SERVICES"", 'EQUIPMENT AND LOCATION', 'THIRD-PARTY SOFTWARE LICENSE', 'CANCELLATION OF SERVICE; DISCONNECTION', 'GENERAL']",['Service Schedule(s)']
20171699993616_Lingo-Select Medical-Lingo Master Services Agmt - Fully Executed.pdf,DocuSign Envelope ID: 608DB876-E085-4F9E-9613-015AF1FE1D8A,MASTER SERVICES AGREEMENT,Master Services Agreement,"LINGO TELECOM, LLC. DBA LINGO",Provider,SELECT MEDICAL CORPORATION,Customer,Telecommunications services,True,True,"['The Services; Engagement of LINGO', 'Services', 'Installation', 'Schedule A', 'LINGO Equipment', 'Maintenance', 'Fees', 'Charges for Services', 'Payment of Invoices', 'Disputed Amounts', 'Taxes', 'Credit', 'Limited Use of Intellectual Property', 'Access', 'Ownership', 'Term', 'Termination/Discontinuance/Suspension', 'Termination, Discontinuance or Suspension by LINGO', 'Termination by either Party', 'Termination by CUSTOMER', 'Survival', 'Early Termination Charges', 'Representations and Warranties', 'Representations and Warranties by CUSTOMER', 'Representations and Warranties by LINGO', 'Limitation of Liability and Disclaimer of Warranties', 'Limitation of Liability', 'Disclaimer of Warranties', 'Indemnity', 'Indemnification by LINGO', 'Indemnification by CUSTOMER', 'Publicity', 'Acceptable Use Policy, Transfer/Resale of Services, and Fraudulent Calls', 'Acceptable Use Policy', 'Move or Transfer and Resale of Services', 'Divested Entity', 'Sold Entity', 'Fraudulent Calls', 'Confidentiality', 'Confidential Information', 'Authorized Disclosure', 'Restrictions', 'Exclusions', 'Employees and Independent Contractors', 'Effect of Termination', 'Specific Performance', 'Miscellaneous', 'Force Majeure', 'Relationship of the Parties', 'Notices', 'Non-Waiver', 'Partial Invalidity', 'Headings', 'Advice of Counsel', 'Entire Agreement', 'Amendment', 'No Third-Party Beneficiaries', 'Assignment', 'Settlement of Disputes', 'Governing Law; Venue', 'Nonperformance', 'Mutual Cooperation', 'Counterparts; English Language', 'Liability Insurance']","['Schedule A', 'Schedule B: SERVICE LEVEL AGREEMENT', 'Schedule C: Lingo - Acceptable Use Policy']"
20171699993928_Lingo-Select Medical-Lingo Master Services Agmt - Fully Executed.pdf,DocuSign Envelope ID: 608DB876-E085-4F9E-9613-015AF1FE1D8A,MASTER SERVICES AGREEMENT,Master Services Agreement,"LINGO TELECOM, LLC. DBA LINGO",Provider,SELECT MEDICAL CORPORATION,Customer,Telecommunications services,True,True,"['The Services; Engagement of LINGO', 'Services', 'Installation', 'Schedule A', 'LINGO Equipment', 'Maintenance', 'Fees', 'Charges for Services', 'Payment of Invoices', 'Disputed Amounts', 'Taxes', 'Credit', 'Limited Use of Intellectual Property', 'Access', 'Ownership', 'Term', 'Termination/Discontinuance/Suspension', 'Termination, Discontinuance or Suspension by LINGO', 'Termination by either Party', 'Termination by CUSTOMER', 'Survival', 'Early Termination Charges', 'Representations and Warranties', 'Representations and Warranties by CUSTOMER', 'Representations and Warranties by LINGO', 'Limitation of Liability and Disclaimer of Warranties', 'Limitation of Liability', 'Disclaimer of Warranties', 'Indemnity', 'Indemnification by LINGO', 'Indemnification by CUSTOMER', 'Publicity', 'Acceptable Use Policy, Transfer/Resale of Services, and Fraudulent Calls', 'Acceptable Use Policy', 'Move or Transfer and Resale of Services', 'Divested Entity', 'Sold Entity', 'Fraudulent Calls', 'Confidentiality', 'Confidential Information', 'Authorized Disclosure', 'Restrictions', 'Exclusions', 'Employees and Independent Contractors', 'Effect of Termination', 'Specific Performance', 'Miscellaneous', 'Force Majeure', 'Relationship of the Parties', 'Notices', 'Non-Waiver', 'Partial Invalidity', 'Headings', 'Advice of Counsel', 'Entire Agreement', 'Amendment', 'No Third-Party Beneficiaries', 'Assignment', 'Settlement of Disputes', 'Governing Law; Venue', 'Nonperformance', 'Mutual Cooperation', 'Counterparts; English Language', 'Liability Insurance']","['Schedule A', 'Schedule B: SERVICE LEVEL AGREEMENT', 'Schedule C: Lingo - Acceptable Use Policy']"
