source_filename,Agreement Name,Agreement Classification,Agreement Purpose,Party1 Name,Party1 Role,Party2 Name,Party2 Role,Effective Date,Signature Date,Term,Renewal Term,Recurring Monthly Charges,Nonrecurring Charges,Services,Locations,Payment Terms,Contract Type,Clauses
"1661598368959_Select Medical Spectrum Coax #26962 Cincinnati, OH.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"9275 MONTGOMERY RD STE 500 CINCINNATI, ОН 45242-7783",Not specified.,,
"1661598374415_Select Medical Spectrum Coax #20636 MENTOR, OH.pdf",Spectrum Business Business Cable Order,Service Agreement,Service Provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"8358 MUNSON RD STE 105 MENTOR, OH 44060-2452",Not specified.,,
"1661598374516_Select Medical Spectrum Coax #41123 Denver, NC.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Spectrum,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"7482 WATERSIDE CROSSING BLVD STE 103 DENVER, NC 28037-3006",Not specified.,,
"1661598374677_Select Medical Spectrum Coax #05738 Prairie, MO.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"7421 S OUTER 364 STE B DARDENNE PR, MO 63368-7014",Not specified.,,
"1661598374973_Select Medical Spectrum Coax #21523 Clayton, NC.pdf",Spectrum Business Cable Order,Service Order,Service provisioning,Telarus,Provider,Select Medical Corporation,Customer,11/19/2018,8/24/2020,0,Not specified.,84.98,Not specified.,Business Cable,"11618 US HIGHWAY 70 W STE 208 CLAYTON, NC 27520-2276",Not specified.,,
"1661598375096_Select Medical Spectrum Coax #19222 McKinney, TX.pdf",Spectrum Business Business Cable Order,Service Order,Service provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"1705 W UNIVERSITY DR STE 119 MCKINNEY, TX 75069-3219",Not specified.,,
"1661598375245_Select Medical Spectrum Coax #05865 Belleville, IL.pdf",Spectrum Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI FOR ATC ATHLETIC THERAPY CENTER BELLEVILLE IL,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"2346 MASCOUTAH AVE STE 114 BELLEVILLE, IL 62220-3586",Not specified.,,
"1661598375482_Select Medical Spectrum Coax #05864 Clayton, MO.pdf",Spectrum Business Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI FOR BODY GEARS PHYSICAL THERAPY ST LOUIS MO,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"509 S HANLEY RD, SAINT LOUIS, MO 63105-2037",Not specified.,,
"1661598538380_Select Medical Spectrum Coax #21118 Erie, PA.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,NovaCare Erie PA,Customer,Not specified.,Not specified.,0,Not specified.,$84.98 ,Not specified.,Business Cable,"5121 ZUCK RD UNIT B ERIE, PA 16506-4950",Not specified.,,
"1661598538765_Select Medical Spectrum Coax #54918 Columbus, OH.pdf",Spectrum Business Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"730 MOUNT AIRYSHIRE BLVD STE C COLUMBUS, OH 43235-1364",Not specified.,,
"1661598539070_Select Medical Spectrum Coax #41183 Lee's Summit, MO.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Telarus,Provider,Select Medical Corporation,Customer,10/10/2018,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"1535 NE DOUGLAS ST, LEES SUMMIT, MO 64086-4611",Not specified.,,
"1661598539306_Select Medical Spectrum Coax #40824 Lees Summit, MO.pdf",Spectrum Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"555-557 SE MELODY LANE LEE'S SUMMIT, MO 64063",Not specified.,,
"1661598539481_Select Medical Spectrum Coax #40752 Overland Park, KS.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Telarus,Provider,Select Medical Corporation,Customer,10/10/2018,8/27/2020,0,Not specified.,84.98,Not specified.,Business Cable,"11330 W 135TH ST, OVERLAND PARK, KS 66221-8100",Not specified.,,
"1661598539910_Select Medical Spectrum Coax #20648 Westlake, OH.pdf",Spectrum Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCi for NovaCare Rehabilitation,Customer,Not specified.,8/31/2018,0,Not specified.,84.98,Not specified.,Business Cable,"23550 Center Ridge Rd Ste 56 Westlake, OH 44145-3655",Not specified.,,
"1661598540129_Select Medical Spectrum Coax #20644 Chagrin Falls, OH.pdf",Spectrum Business Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,NovaCare Rehabilitation,Customer,Not specified.,8/27/2020,0,Not specified.,84.98,Not specified.,Business Cable,"5192 CHILLICOTHE RD STE 103 CHAGRIN FALLS, OH 44022-4196",Not specified.,,
"1661598540274_Select Medical Spectrum Coax #20638 SOLON, OH.pdf",Spectrum Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCi for NovaCare Rehabilitation,Customer,Not specified.,8/25/2020,0,Not specified.,84.98,Not specified.,Business Cable,"6050 ENTERPRISE PKWY SOLON, OH 44139-2762",Not specified.,,
"1661598540450_Select Medical Spectrum Coax #20637 Mayfield Village, OH.pdf",Spectrum Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCi for NovaCare Rehabilitation,Customer,Not specified.,8/27/2020,0,Not specified.,$84.98 ,Not specified.,Business Cable,"731 BETA DR, MAYFIELD VLG, OH 44143-2366",Not specified.,,
"1661598540874_Select Medical Spectrum Coax #20582 Cincinnati, OH.pdf",Spectrum Business Cable Order,Service Agreement,Service Provisioning,Spectrum Business,Provider,DCI for NovaCare Rehabilitation Forest Park OH 20582,Customer,Not specified.,8/31/2018,0,Not specified.,84.98,Not specified.,Business Cable,"1198 SMILEY AVE STE F CINCINNATI, ОН 45240-1866",Not specified.,,
"1661598541180_Select Medical Spectrum Coax #20581 Cincinnati, OH.pdf",Spectrum Business Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCi for NovaCare Rehabilitation,Customer,Not specified.,8/31/2018,0,Not specified.,84.98,Not specified.,Business Cable,"5500 HARRISON AVE STE 1 CINCINNATI, ОН 45248-2361",Not specified.,,
"1661598541782_Select Medical Spectrum Coax #05769 St. Louis, MO.pdf",Spectrum Business Cable Order,Service Agreement,Service Provisioning,Spectrum Business,Provider,DCI FOR WEBSTER GROVES,Customer,Not specified,8/27/2020,0,Not specified,84.98,Not specified,Business Cable,"8654 BIG BEND BLVD WEBSTER GRVS, MO 63119-3839",Not specified,,
"1661598541916_Select Medical Spectrum Coax #05751 Shiloh, IL.pdf",Spectrum Business Cable Order,Service Agreement,Service Provisioning,Spectrum Business,Provider,DCI FOR SSMR OFALLON IL 05751,Customer,Not specified.,8/31/2018,0,Not specified.,84.98,Not specified.,Business Cable,"1901 FRANK SCOTT PKWY E O FALLON, IL 62269-7342",Not specified.,,
"1661598545569_Select Medical Spectrum Coax #05750 Edwardsville, IL.pdf",Spectrum Business Cable Order,Service Agreement,Service provisioning,Spectrum Business,Provider,DCI FOR SSMR EDWARDSVILLE IL 05750,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"219 E VANDALIA ST, EDWARDSVILLE, IL 62025-1766",Not specified.,,
"1661598545819_Select Medical Spectrum Coax #26834 La Grange, KY.pdf",Spectrum Business Cable Order,Service Agreement,Service Provisioning,Telarus Order Desk,Provider,DCI FOR KORT LAGRANGE KY 04172,Customer,8/21/2018,8/27/2020,Not specified,Not specified,84.98,Not specified,Spectrum Business Cable,"1212 MARKET ST, LA GRANGE, KY 40031-7986",Not specified,,
"1661598545990_Select Medical Spectrum Coax #21952 Elk River, M.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,DCi for NovaCare Elk River MN 21952,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"555 RAILROAD DR NW STE C ELK RIVER, MN 55330-1469",Not specified.,,
"1661598546218_Select Medical Spectrum Coax #04024 Brandenburg, KY.pdf",Spectrum Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"815 HILLCREST DR STE C BRANDENBURG, KY 40108-1415",Not specified.,,
"1661598546360_Select Medical Spectrum Coax #04026 Winchester, KY.pdf",Spectrum Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,10/10/2018,Not specified,0,Not specified,84.98,Not specified,Business Cable,"1547 BYPASS RD, WINCHESTER, KY 40391-2714",Not specified,,
"1661598546436_Select Medical Spectrum Coax #04029 Lexington, KY.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"1650 BRYAN STATION RD STE 122 LEXINGTON, ΚΥ 40505-2139",Not specified.,,
"1661598546607_Select Medical Spectrum Coax #04040 Lexington, KY.pdf",Spectrum Business Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"1792 Alysheba Way Ste 140, Lexington, KY 40509-2289",Not specified.,,
"1661598546777_Select Medical Spectrum Coax #26813 Louisville, KY.pdf",Spectrum Business Cable Order,Service Order,Service Provisioning,Spectrum Business,Provider,Select Medical Corporation,Customer,Not specified.,Not specified.,0,Not specified.,84.98,Not specified.,Business Cable,"9368 Cedar Center Way, Louisville, KY 40291-4522",Not specified.,,
1661598546862_Select Medical Spectrum Coax 080218 Multi Order.pdf,Select Medical-Multi Site,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical,Customer,Not specified.,8/2/2018,Not specified.,Not specified.,Not specified.,Not specified.,"Internet, phone, and data services","['621 E ALEXANDER ST PLANT CITY, FL 33563-7126', '4107 N HIMES AVE STE 100 TAMPA, FL 33609-1317', '10607 SHELDON RD TAMPA, FL 33626-5114', '2410 W BRANDON BLVD BRANDON, FL 33511-4717', '14813 N DALE MARBY HWY STE 720 TAMPA, FL 33618-2027', '3037 LAKELAND HILLS BLVD STE 5 LAKELAND, FL 33805-2202', '3900 S FLORIDA AVE STE 107 LAKELAND, FL 33813-1150', '1491 6TH ST NW WINTER HAVEN, FL 33881-2365', '31964 US HIGHWAY 19 N PALM HARBOR, FL 34684-3730', '5901 SUN BLVD House Nbr STE 110 House Status SAINT PETERSBURG, FL 33715-1165']",Not specified.,,
1661598547007_Select Medical Spectrum Coax 080218 Multi Order.pdf,Select Medical-Multi Site,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical,Customer,Not specified.,8/2/2018,Not specified.,Not specified.,Not specified.,Not specified.,"Internet, voice, and data services","Plant City, Tampa, Brandon, Lakeland, Winter Haven, Palm Harbor, St Petersburg, FL",Not specified.,,
1661598547036_Select Medical Spectrum Coax 080218 Multi Order.pdf,Select Medical-Multi Site,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical,Customer,Not specified.,8/2/2018,Not specified.,Not specified.,Not specified.,Not specified.,"Internet, voice, and data services","Plant City, Tampa, Brandon, Lakeland, Winter Haven, Palm Harbor, St Petersburg, FL",Not specified.,,
1661598547109_Select Medical Spectrum Coax 080218 Multi Order.pdf,Select Medical-Multi Site,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical,Customer,Not specified.,8/2/2018,Not specified.,Not specified.,Not specified.,Not specified.,"Internet, voice, and data services","Plant City, Tampa, Brandon, Lakeland, Winter Haven, Palm Harbor, St Petersburg, FL",Not specified.,,
1661598547163_Select Medical Spectrum Coax 080218 Multi Order.pdf,Select Medical-Multi Site,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical,Customer,Not specified.,8/2/2018,Not specified.,Not specified.,Not specified.,Not specified.,"Internet, phone, and data services","['621 E ALEXANDER ST PLANT CITY, FL 33563-7126', '4107 N HIMES AVE STE 100 TAMPA, FL 33609-1317', '10607 SHELDON RD TAMPA, FL 33626-5114', '2410 W BRANDON BLVD BRANDON, FL 33511-4717', '14813 N DALE MARBY HWY STE 720 TAMPA, FL 33618-2027', '3037 LAKELAND HILLS BLVD STE 5 LAKELAND, FL 33805-2202', '3900 S FLORIDA AVE STE 107 LAKELAND, FL 33813-1150', '1491 6TH ST NW WINTER HAVEN, FL 33881-2365', '31964 US HIGHWAY 19 N PALM HARBOR, FL 34684-3730', '5901 SUN BLVD House Nbr STE 110 House Status SAINT PETERSBURG, FL 33715-1165']",Not specified.,,
1661598547235_Select Medical Spectrum Coax 080218 Multi Order.pdf,Select Medical-Multi Site,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical,Customer,Not specified.,8/2/2018,Not specified.,Not specified.,Not specified.,Not specified.,"Internet, voice, and data services","Plant City, Tampa, Brandon, Lakeland, Winter Haven, Palm Harbor, St Petersburg, FL",Not specified.,,
1661598547315_Select Medical Spectrum Coax 080218 Multi Order.pdf,Select Medical-Multi Site,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical,Customer,Not specified.,8/2/2018,Not specified.,Not specified.,Not specified.,Not specified.,"Internet, phone, and data services","['621 E ALEXANDER ST PLANT CITY, FL 33563-7126', '4107 N HIMES AVE STE 100 TAMPA, FL 33609-1317', '10607 SHELDON RD TAMPA, FL 33626-5114', '2410 W BRANDON BLVD BRANDON, FL 33511-4717', '14813 N DALE MARBY HWY STE 720 TAMPA, FL 33618-2027', '3037 LAKELAND HILLS BLVD STE 5 LAKELAND, FL 33805-2202', '3900 S FLORIDA AVE STE 107 LAKELAND, FL 33813-1150', '1491 6TH ST NW WINTER HAVEN, FL 33881-2365', '31964 US HIGHWAY 19 N PALM HARBOR, FL 34684-3730', '5901 SUN BLVD House Nbr STE 110 House Status SAINT PETERSBURG, FL 33715-1165']",Not specified.,,
1661598547376_Select Medical Spectrum Coax 080218 Multi Order.pdf,Select Medical-Multi Site,Service Agreement,Service provisioning,Spectrum Business,Provider,Select Medical,Customer,Not specified.,8/2/2018,Not specified.,Not specified.,Not specified.,Not specified.,"Internet, voice, and data services","Plant City, Tampa, Brandon, Lakeland, Winter Haven, Palm Harbor, St Petersburg, FL",Not specified.,,
16761736965287_Concentra Health Services APX Chattanooga MACD Change Address 01 09 25 - signed.pdf,MACD Authorization Form Service Agreement,Service Agreement,Service provisioning,"APX Net, Inc.",Provider,Concentra Health Services Inc,Customer,1/9/2025,1/14/2025,Not specified,Not specified,"$1,038 ",Not specified,"50Mbps DIA, /30 IP","1210 Broad St, Ste 300, Chattanooga, TN 37402; 1206 Broad St, Ste 106, Chattanooga, TN 37402",Not specified,,
181677248384_10541603575437_1321526501272_Signed Century Link Audiology Las Vegas 4 _5_2018 (1).pdf,CenturyLink Total Advantage Express Agreement,Service Agreement,Service provisioning,"CenturyLink Sales Solutions, Inc.",Provider,Fundamental Audiology Las Vegas,Customer,4/4/2018,4/4/2018,36,Automatically renews unless terminated,$587.00 ,$0.00 ,"Fiber+ Enterprise Data Bundle, IQ Networking Port Internet, Microsoft Office 365 from CenturyLink, Basic Web Hosting with Site Builder Tools, DNS Registration, Data Backup for PC and Laptop, Cloud Fax, Search Engine Submission","2911 N Tenaya Way, Suit 205 Las Vegas NV 89128","All charges within 30 days of the invoice date except for CenturyLink QC charges, which Customer must pay by the due date on the invoice.",,
1901582744153_1601544726466_New Nitel Order prostock.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,12/12/2018,12/12/2018,36,12,69,25,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Self-install, Expedited Order Service","30 Ridgedale Avenue, East Hanover, NJ",All bills are due within thirty (30) days of receipt of invoice.,,
1901582744763_1601544801547_New Nitel Order HQ (1).pdf,SERVICE ORDER FORM,Service Agreement,service provisioning,"Distributed Computing, Inc.",provider,"Nitel, Inc.",customer,Not specified.,12/12/2018,36,12,69,25,"['Cellular Broadband (5GB)', 'AirLink RV50 LTE Modem', 'Standard Ground Shipping', 'Expedited Shipping', 'Expedited Order Service']","['350 N. Orleans Street, #1300N, Chicago, 60654']",All bills are due within thirty (30) days of receipt of invoice.,,
1901582744981_1601545142579_NIT218820 osh.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,12/13/2018,12/14/2018,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Expedited Order Service","4266 State Road 21, Oshkash, WI 54904",All bills are due within thirty (30) days of receipt of invoice,,
1901582745078_1601547127951_All Care New Nitel Order NIT219185 - DCi 1.9.19.pdf,Service Order Form,Service Agreement,Service Provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc",Customer,Not specified.,1/9/2019,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Self-Install, Expedited Order Service","50 Bearfoot Road, Northborough, MA 01532",All bills are due within thirty (30) days of receipt of invoice.,,
1901582745318_1601545243517_New Nitel Order NIT219644 - DCi 12.19.18 Jinny.pdf,SERVICE ORDER FORM,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,12/19/2018,12/19/2019,12,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Self-Install, Expedited Order Service","350 N. Orleans Street, #1300N, Chicago, IL 60654; 4545 Pacific Blvd, Verrion, CA 90058",All bills are due within thirty (30) days of receipt of invoice.,,
1901582745521_1601547216624_New Nitel Order NIT220221 - DCi 1.10.19 Renn.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,Not specified.,1/10/2019,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Expedited Order Service","228 Meadow St. Waterbury, CT",All bills are due within thirty (30) days of receipt of invoice.,,
1901582745839_1601546439463_IBB New Nitel Order NIT220147 - DCi 12.28.18.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,12/28/2018,12/28/2018,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Expedited Order Service","N19-W6723 Commerce Court Cedarburg, WI 53012",All bills are due within thirty (30) days of receipt of invoice.,,
1901582745924_1601548171042_New Nitel Order NIT220380.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,1/21/2019,1/21/2019,24,12,69,474,"['Cellular Broadband (5GB)', 'AirLink RV50 LTE Modem', 'Standard Ground Shipping', 'Expedited Order Service']","['350 N. Orleans Street, #1300N, Chicago, IL 60654', '1 Rossmoor Dr Monroe Township NJ 08831']",All bills are due within thirty (30) days of receipt of invoice.,,
1901582745992_1601545842168_New Nitel Order NIT219405 - Renaissance.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc",Customer,12/26/2018,12/26/2018,36,12,69,474,"['Cellular Broadband (5GB)', 'AirLink RV50 LTE Modem', 'Standard Ground Shipping', 'Expedited Order Service']","['527 Wolcott, Waterbury, CT 06705']",Net 30 days,,
1901582746094_1601548170998_New Nitel Order NIT220381.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,1/21/2019,1/21/2019,24,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited-Order Service",1222 Welsh Road North Wales PA 19454,All bills are due within thirty (30) days of receipt of invoice.,,
1901582746172_1601548171352_New Nitel Order NIT220382.pdf,SERVICE ORDER FORM,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,1/21/2019,1/21/2019,24,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Expedited Order Service","10 Bridge St, Laimbertville, NJ 08530",All bills are due within thirty (30) days of receipt of invoice.,,
1901582746270_1601548171640_New Nitel Order NIT219787.pdf,SERVICE ORDER FORM,Service Agreement,service provisioning,"Distributed Computing, Inc.",provider,"Nitel, Inc.",customer,1/21/2019,1/21/2019,12,12,69,474,"['Cellular Broadband (5GB)', 'AirLink RV50 LTE Modem', 'Standard Ground Shipping', 'Expedited Shipping', 'Expedited Order Service']","['2 Route 31, Pennington, NJ 08534']",All bills are due within thirty (30) days of receipt of Invoice.,,
1901582746352_1601548360313_Chicago New Nitel Order NIT220378 - DCi 1.24.19.pdf,SERVICE ORDER FORM,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,1/24/2019,1/24/2019,36,12,69,474,"['Cellular Broadband (5GB)', 'AirLink RV50.LTE Modem', 'Standard Ground Shipping', 'Expedited Shipping', 'Self-Install', 'Expedited Order Service']","['350 N. Orleans Street, #1300N, Chicago, IL 60654']",All bills are due within thirty (30) days of receipt of invoice.,,
1901582746412_1601546448186_Wally New Nitel Order NIT218817 - DCi 12.31.18.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,12/31/2018,12/31/2018,36,12,69,474,Cellular Broadband (5GB),"2026 County Road A, West Bend, WI 53090",Due within 30 days of receipt of invoice,,
1901582746517_1601546448513_Cousineau Weston New Nitel Order NIT218823 - DCi 12.31.18 (1).pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,12/31/2018,12/31/2018,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Expedited Order Service","6702 Ryan St Weston, WI 54476",Net 30 days,,
1901582746571_1601546457279_Appleton New Nitel Order NIT218814 - DCi 12.31.18.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,12/31/2018,12/31/2018,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Expedited Order Service","2225 W Nordale Dr, Appleton, WI 54914",All bills are due within thirty (30) days of receipt of invoice.,,
1901582747637_1601549998180_1601548170956_New Nitel Order NIT220383.pdf,SERVICE ORDER FORM,Service Agreement,service provisioning,"Distributed Computing, Inc.",provider,"Nitel, Inc.",customer,1/21/2019,1/21/2019,12,12,69,474,"['Cellular Broadband (5GB)', 'AirLink RV50 LTE Modem', 'Standard Ground Shipping', 'Expedited Shipping', 'Expedited Order Service']","['2 Route 31, Pennington, NJ 08534']",All bills are due within thirty (30) days of receipt of Invoice.,,
1901582747740_1601546440144_ATLAS New Nitel Order NIT220149 - DCi 12.28.18.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,12/28/2018,12/28/2018,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Expedited Order Service","[{'Site Name': 'Atias inspection Technologies, Inc.', 'Street': '1455 E Sam Houston Parkway S', 'City': 'Pasadena', 'State': 'TX', 'Zip': '77503'}]",All bills are due within thirty (30) days of receipt of invoice.,,
1901582747993_1601549659212_FTD Phoenix.pdf,SERVICE ORDER FORM,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,Not specified.,2/5/2019,12,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Expedited Order Service","625 S 27TH AVE, Phoenix, AZ 85009",All bills are due within thirty (30) days of receipt of invoice.,,
1901582748075_1601549659255_FTD Aurora.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,Not specified.,2/5/2019,36,12,69,474,Cellular Broadband (5GB),"2250 Airport Blvd Aurora, CO",All bills are due within thirty (30) days of receipt of invoice.,,
1901582748362_1601549906832_New Nitel Order NIT220569 - DCi 2.4.19.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,Not specified.,2/4/2019,36,12,69,474,Cellular Broadband (5GB),200 Mountain View Rd Morgantown PA 19543,All bills are due within thirty (30) days of receipt of invoice.,,
1901582748440_1601550506535_bolt batesville.pdf,Service Order Form,Service Agreement,Service Provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,2/15/2019,2/15/2019,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Expedited Order Service","350 N. Orleans Street, #1300N, Chicago, IL 60654; 490 Newport Rd, Batesville, AR 72501",Net 30,,
1901582748573_1601550506556_Bolt lewistown.pdf,SERVICE ORDER FORM,Service Agreement,service provisioning,"Distributed Computing, Inc.",provider,"Nitel, Inc.",customer,2/15/2019,2/15/2019,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Standard Ground Shipping, Expedited Shipping, Self-Install, Expedited Order Service","350 N. Orleans Street, #1300N, Chicago, IL 60654; 6395 PA-106-, Lewistown, PA 17044",All bills are due within thirty (30) days of receipt of invoice.,,
1901582748765_1601552667227_New Nitel Order NIT221089 - 3.14.19.pdf,SERVICE ORDER FORM,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,Not specified.,3/14/2019,36,12,69,474,Cellular Broadband (5GB),"1243.5 7TH.ST Phoenix, AZ 85034",All bills are due within thirty (30) days of receipt of invoice.,,
1901582748838_1601554382525_New Nitel Order NIT220266 - DCi 4.3.19.pdf,SERVICE ORDER FORM,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,Not specified.,4/3/2019,36,12,69,474,Cellular Broadband (5GB),3201 South 460 East Lafayette IN 47905,All bills are due within thirty (30) days of receipt of invoice.,,
1901582748967_1601554141237_New Nitel Order NIT221295 - DCi 4.1.19.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,4/1/2019,4/1/2019,36,12,69,474,"Cellular Broadband (5GB), AirLink RV50 LTE Modem, Expedited Order Service, Standard Ground Shipping, Expedited Shipping, Self-Install","8350 Florida Blvd Baton Rouge, LA 70806",Due within 30 days of receipt of invoice,,
1901582749042_1601554124971_New Nitel Order NIT221340 - DCi 3.29.19 - Revised.pdf,Service Order Form,Service Agreement,Service provisioning,"Distributed Computing, Inc.",Provider,"Nitel, Inc.",Customer,3/29/2019,3/29/2019,12,12,69,474,"['Cellular Broadband (5GB)', 'AirLink RV50 LTE Modem', 'Standard Ground Shipping', 'Expedited Shipping', 'Expedited Order Service']","['350 N. Orleans Street, #1300N, Chicago, IL 60654', '21202 Gathering Oak, San Antonio, TX 78260']",All bills are due within thirty (30) days of receipt of invoice.,,
